dataset_id,module_a,module_b,mean_correlation,n_pairs
GSE272133_muscle_bariatric,stress_repair,stress_repair,1.0,1
GSE272133_muscle_bariatric,dna_damage_repair,nad_salvage_core,0.6261482988378799,18
GSE272133_muscle_bariatric,dna_damage_repair,nad_de_novo,0.4191688645537479,9
GSE272133_muscle_bariatric,dna_damage_repair,nad_consumption_inflammation,0.4209134546609272,6
GSE272133_muscle_bariatric,dna_damage_repair,nad_consumption_repair,0.7624321525450369,6
GSE272133_muscle_bariatric,dna_damage_repair,sirtuin_repair,0.6997884829726819,9
GSE272133_muscle_bariatric,dna_damage_repair,mitochondrial_biogenesis,0.7007383894331216,6
GSE272133_muscle_bariatric,dna_damage_repair,oxidative_stress_repair,0.678560049683726,12
GSE272133_muscle_bariatric,dna_damage_repair,nfkb_inflammation,0.39104512787369977,21
GSE272133_muscle_bariatric,dna_damage_repair,innate_immune_inflammation,0.40395696306850976,9
GSE272133_muscle_bariatric,dna_damage_repair,monocyte_macrophage,0.4716522508056778,12
GSE272133_muscle_bariatric,dna_damage_repair,macrophage_resolution,0.28499252472460385,6
GSE272133_muscle_bariatric,dna_damage_repair,insulin_metabolism,0.6424116904989002,12
GSE272133_muscle_bariatric,dna_damage_repair,nutrient_sensing,0.6923133796057473,3
GSE272133_muscle_bariatric,dna_damage_repair,stress_repair,0.6369508716067269,3
GSE272133_muscle_bariatric,dna_damage_repair,dna_damage_repair,0.6938902824108569,3
GSE272133_muscle_bariatric,dna_damage_repair,mitochondrial_stress,0.3755575933930158,6
GSE272133_muscle_bariatric,autophagy_repair,nad_salvage_core,0.4354083679714161,24
GSE272133_muscle_bariatric,autophagy_repair,nad_de_novo,0.2259826265095295,12
GSE272133_muscle_bariatric,autophagy_repair,nad_consumption_inflammation,0.3686630755051964,8
GSE272133_muscle_bariatric,autophagy_repair,nad_consumption_repair,0.5724713035776033,8
GSE272133_muscle_bariatric,autophagy_repair,sirtuin_repair,0.5329983454619464,12
GSE272133_muscle_bariatric,autophagy_repair,mitochondrial_biogenesis,0.5659637726824629,8
GSE272133_muscle_bariatric,autophagy_repair,oxidative_stress_repair,0.5710155462191835,16
GSE272133_muscle_bariatric,autophagy_repair,nfkb_inflammation,0.2044097176262141,28
GSE272133_muscle_bariatric,autophagy_repair,innate_immune_inflammation,0.2317142209460021,12
GSE272133_muscle_bariatric,autophagy_repair,monocyte_macrophage,0.21511100273750608,16
GSE272133_muscle_bariatric,autophagy_repair,macrophage_resolution,0.18262941465631494,8
GSE272133_muscle_bariatric,autophagy_repair,insulin_metabolism,0.5218709885927886,16
GSE272133_muscle_bariatric,autophagy_repair,nutrient_sensing,0.5986493140133715,4
GSE272133_muscle_bariatric,autophagy_repair,stress_repair,0.5587131690122791,4
GSE272133_muscle_bariatric,autophagy_repair,dna_damage_repair,0.5100808374631898,12
GSE272133_muscle_bariatric,autophagy_repair,autophagy_repair,0.42029454658836723,6
GSE272133_muscle_bariatric,autophagy_repair,mitochondrial_stress,0.3721842992503204,8
GSE272133_muscle_bariatric,mitochondrial_stress,nad_salvage_core,0.34680269698827776,12
GSE272133_muscle_bariatric,mitochondrial_stress,nad_de_novo,0.24130227853027897,6
GSE272133_muscle_bariatric,mitochondrial_stress,nad_consumption_inflammation,0.26117333966671985,4
GSE272133_muscle_bariatric,mitochondrial_stress,nad_consumption_repair,0.36726985033031745,4
GSE272133_muscle_bariatric,mitochondrial_stress,sirtuin_repair,0.3591211906430201,6
GSE272133_muscle_bariatric,mitochondrial_stress,oxidative_stress_repair,0.4928553665958905,8
GSE272133_muscle_bariatric,mitochondrial_stress,nfkb_inflammation,0.21288400940687188,14
GSE272133_muscle_bariatric,mitochondrial_stress,monocyte_macrophage,0.2176532173817452,8
GSE272133_muscle_bariatric,mitochondrial_stress,nutrient_sensing,0.48127734911504605,2
GSE272133_muscle_bariatric,mitochondrial_stress,stress_repair,0.33520565453890583,2
GSE272133_muscle_bariatric,mitochondrial_stress,mitochondrial_stress,0.4637230725189675,1
GSE282850_muscle_cell_aicar_palmitate,nad_salvage_core,nad_salvage_core,-0.19465166191469732,10
GSE282850_muscle_cell_aicar_palmitate,nad_salvage_core,sirtuin_repair,0.028304640598387606,15
GSE282850_muscle_cell_aicar_palmitate,nad_salvage_core,oxidative_stress_repair,0.0005007408940228997,15
